Date,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
193509,4.02,5.06,1.59,4.68,2.81,1.91,2.76,2.05,1.71,-1.87
193510,9.55,8.55,6.94,7,8.29,6.32,3.97,5.54,6.22,2.5
193511,7.06,5.14,6.05,3.58,2,5.53,3.93,2.77,5.09,3.99
193512,5.95,4.94,8.72,5.5,3.53,4.76,2.5,2.87,5.15,4.2
193601,9.15,8.97,4.88,5.29,4.28,3.48,5.7,5.28,5.48,7.65
193602,4.12,4.75,1.59,1.81,2.56,4.25,1.34,1.51,0.24,1.28
193603,2.09,2.17,1.15,1.53,-1.04,0.92,1.71,0.56,-1.45,-0.04
193604,-9.01,-9.94,-7.17,-7.5,-7.4,-7.46,-7.27,-6.57,-7.18,-5.36
193605,3.2,3.89,6.22,3.36,3.51,4.32,3.41,3.1,3.65,3.13
193606,1.93,0.4,2.19,4.57,0.51,1.92,2.25,1.13,1.86,1.82
193607,10.41,8.8,8.08,7.34,7.18,2.55,7.4,4.63,5.87,2
193608,1.56,1.57,1.98,1.63,0.49,1.98,2.72,0.55,0.39,2.19
193609,2.84,2.14,2.42,3.02,2.23,2.7,3.47,0.79,2.76,0.43
193610,8.26,7.63,7.82,6.62,4.81,4.02,4.35,5.1,5.11,6.58
193611,7.08,5.15,4.94,5.72,2.58,5.36,5.22,4.08,5.64,6.39
193612,7.37,1.1,2.63,0.88,0.75,-0.25,-2.06,-2.42,-1.76,-1.36
193701,3.3,4.68,3.84,4.52,3.23,2.67,3.57,3.14,4.33,3.33
193702,0.91,3.72,1.69,1.06,-0.59,1.16,1.69,0.35,0.79,0.1
193703,-0.87,-1.41,0.92,-1.28,-0.54,-0.31,-2.51,-1.59,-2.78,-0.61
193704,-9.1,-8.11,-7.37,-7.46,-6.41,-8.91,-5.95,-5.49,-5.7,-8.34
193705,-0.45,-0.67,-0.02,-0.13,-0.13,-1.72,-2.12,-0.28,-3.47,-1.35
193706,-4.5,-5.89,-5.11,-5.29,-4.59,-5.92,-5.04,-4.6,-5.66,-4.09
193707,8.75,9.66,8.66,7.41,8.06,9.56,8.65,7.87,6.94,8.98
193708,-7.23,-5.12,-5.42,-3.84,-2.56,-3.22,-2.87,-4.17,-2.4,-3.37
193709,-21.35,-18.72,-18.12,-14.75,-15.99,-16.91,-14.27,-15.52,-13.08,-15.96
193710,-12.9,-12.58,-9.42,-8.5,-9.34,-8.73,-7.85,-9.17,-7.62,-9.95
193711,-10.54,-9.33,-7.99,-11.27,-10.05,-8.93,-10.96,-7.7,-11.29,-12.52
193712,-5.15,-6.29,-7.82,-6.7,-7.24,-5.8,-9.13,-9.73,-8.28,-11.54
193801,0.75,0.03,0.56,3.53,2.61,3.45,4.05,4.56,6.75,6.29
193802,7.78,9.86,8.31,7.14,5.78,6.08,7.08,5.68,3.99,5.74
193803,-30.88,-27.22,-27.22,-24.37,-23.44,-24.09,-23.28,-25.66,-23.03,-27.6
193804,22.76,19.51,18.07,16.98,14.35,16,15.14,18.39,16.84,19.27
193805,-8.38,-7.03,-6.48,-4.28,-5.83,-3.19,-4.72,-5.9,-5.29,-6.55
193806,35.73,33.43,30.69,26.77,26,24.85,25.29,27.64,24.02,29.46
193807,11.21,10.6,10.88,10.35,7.99,9.47,10.11,10.18,12.74,14.04
193808,-6.94,-3.94,-5.48,-3.76,-2.43,-2.35,-2.97,-5.55,-3.51,-6.12
193809,-0.18,-1.3,-2.03,-1.52,-1.84,-0.92,-0.86,-1.78,-1.02,-1.27
193810,14.83,11.3,13.46,9.68,10.52,9.65,12.56,9.94,11.58,11.18
193811,-3.72,-0.69,-3.12,-2.53,-2.23,-2.35,-2.31,-2.77,-0.96,-2.1
193812,4.79,5.92,4.07,3.37,4.11,2.35,3.45,2.48,1.7,1.68
193901,-9.62,-7.93,-7.04,-6.65,-5.82,-7.11,-6.84,-5.38,-5.93,-8.43
193902,3.77,2.56,3.8,2.76,5.19,4.67,5.88,5.34,6.22,3.99
193903,-20.01,-18.3,-17.72,-12.86,-12.5,-13.31,-14.55,-13.11,-11.95,-13.62
193904,0.68,-1.23,-0.26,-0.02,0.16,-1.29,-0.47,-0.39,-0.32,-1.48
193905,7.48,8.95,8.51,7.32,8.81,7.5,10.98,7.62,10.45,8.79
193906,-10.24,-9.16,-7.32,-4.46,-5.74,-5.64,-5.85,-4.55,-5.54,-6.39
193907,12.67,13.66,11,7.64,9.37,10.64,9.66,9.59,10.88,9.43
193908,-11.9,-9.42,-8.6,-6.23,-8.48,-7.82,-7.22,-8.35,-7.43,-7.75
193909,27.03,25.94,16.21,12.76,20.15,18.11,8.4,16.35,16.9,13.55
193910,-0.86,0.57,2.66,2.22,2.89,1.99,3.13,4.04,0.82,3.77
193911,-6.08,-5.9,-3.17,-2.13,-3.66,-3.1,-1.49,-3.2,-3.6,-3.95
193912,3.07,3.04,3.63,4.88,2.61,3.44,2.65,2.46,2.9,0.11
194001,-2.35,-2.28,-2.33,-0.64,-0.83,-0.38,-0.49,-0.27,1.14,1.34
194002,2.84,3.25,2.81,1.33,2.48,2.8,1.38,1.04,0.63,4.37
194003,2.56,3.08,2.43,1.67,3.04,2.96,2.25,1.27,1.44,0.94
194004,-0.25,-1.37,0.09,0.95,3.89,-0.37,-1.03,2.09,0.38,0.25
194005,-26.46,-24.52,-23.43,-19.8,-23.85,-21.92,-21.77,-25.59,-24.78,-23.73
194006,6.05,6.32,3.9,4.24,5.98,6.58,7.65,7.05,7.32,4.01
194007,3.14,4.16,2.39,2.96,3.76,5.63,4.13,6.74,5.36,4.66
194008,2,1.92,1.92,2.39,2.02,2.29,2.37,2.42,3.44,3.34
194009,2.9,4.37,3.54,5.6,2.81,4.15,3.38,3.76,4.11,3.57
194010,7.61,4.52,1.23,2.46,3.09,4.95,5.4,4.18,3.89,2.63
194011,-0.07,-1.41,-0.75,0.53,0.91,-0.48,0.57,1.21,3.33,3.47
194012,-0.47,-0.73,0.65,0.21,-1.88,-0.68,1.79,-1.74,-0.61,-1.1
194101,-4.47,-4.53,-1.76,-2.44,0,-1.3,-2.9,-2.8,-0.35,0.36
194102,-1.01,-1.15,-3.52,-1.99,-2.32,-0.93,-0.66,-1.35,-0.32,-2.46
194103,1.5,0.82,0.75,1.8,2.68,1.05,0.69,0.64,1.72,0.94
194104,-5.25,-6.14,-4.05,-4.93,-4.77,-4.17,-5.66,-5.02,-5.25,-7.24
194105,2.74,1.29,1.54,1.49,0.76,1.05,2.28,0.43,0.64,0.43
194106,7.55,5.86,5.69,7.95,5.51,5.94,5.14,5.91,3.73,4.64
194107,12.81,11.37,8.32,7.59,7.66,9.15,8.55,7.9,9.1,8.4
194108,-1.89,0.1,-0.07,0.48,-1.12,-0.82,-0.18,0.18,-1.19,-0.59
194109,-1.83,-1.48,-0.48,-0.4,-1.37,-1.13,-0.61,-0.36,-0.49,-2.76
194110,-4.66,-4.73,-5.39,-4.97,-5.56,-5.26,-4.83,-5.72,-6.21,-6.3
194111,-1.97,-1.18,-2.62,-2.35,-3.48,-2.35,-1.54,-2.34,-2.05,-1.98
194112,-5.85,-5.88,-5.04,-2.28,-4.79,-3.44,-6.38,-4.84,-9.35,-10.46
194201,4,5.37,3.02,4.05,5.37,5.05,6.85,8.08,8.62,13.26
194202,-2.59,-2.8,-2.01,-2.03,-1.29,-0.66,-1.58,-2.25,-1.57,-0.72
194203,-4.75,-6.07,-5.82,-4.91,-5.36,-4.93,-3.77,-4.07,-2.23,-4.97
194204,-4.9,-4.88,-4.06,-4.68,-5.65,-4.28,-5.95,-3.08,-4.21,-3.3
194205,3.69,5.27,4.81,3.31,5.16,3.19,2.57,2.77,3.35,6.92
194206,2.43,2.32,2.96,3.22,3.13,1.74,2.65,0.99,2.82,2.14
194207,3.77,2.96,3.98,4.9,4.43,4.72,4.19,4.37,3.76,3.67
194208,2.53,2.42,1.89,2.24,2.41,3.5,2.83,2.69,0.21,2.86
194209,4.3,2.11,2.87,3.5,2.59,1.87,2.65,3.9,2.02,3.32
194210,9.82,6.89,5.19,7.7,6.2,7.93,6.94,6.91,10.21,10.21
194211,-0.78,1.74,0.19,-0.28,-0.7,-0.47,-0.98,-0.16,0.39,-2.84
194212,5.95,6.56,5.83,3.95,6.23,3.7,3.32,3.11,3.11,3.07
194301,11.3,7.95,7.73,10,10.94,10.31,10.06,11.59,13.91,16.86
194302,7.42,5.91,4.31,8.3,7.45,6.94,7.3,8.44,9.83,10.99
194303,11.23,8.9,7.2,9.03,9.18,11.06,9.06,10.61,10.89,11.99
194304,2.51,0.37,2.09,1.39,1.46,1.22,1.15,0.5,1.53,2.4
194305,7.91,6.1,5.45,5.57,6.57,6.9,5.22,7.64,7.3,6.41
194306,0.23,2.26,1.82,2.05,1.98,2.64,2.25,1.47,1.2,0.87
194307,-7.18,-6.31,-4.75,-4.49,-4.86,-4.92,-5.82,-3.99,-6.49,-6.45
194308,1.54,1.34,1.75,0.21,0.65,1.89,0.42,0.46,0.8,0.26
194309,2.69,3,2.94,3,3.76,3.29,4.5,2.69,2.47,1.79
194310,-0.94,-1.23,-1.31,-1.62,-0.86,-0.97,0.33,0.48,1.28,0.28
194311,-9.24,-7.78,-7.34,-7.06,-7.08,-5.59,-5.9,-6.36,-7.11,-9.46
194312,10.03,9.53,7.66,8.38,8.45,7.05,8.51,8.58,8.22,7.36
194401,2.45,3.04,2.65,4.35,2.89,2.91,3.6,2.36,4.34,5.86
194402,0.41,0.99,0.34,0.27,0.09,0.45,1.59,2.67,1.65,3.22
194403,4.97,4.4,3.31,2.47,2.15,2.84,3.58,3.41,2.71,4.38
194404,-2.88,-1.89,-2.7,-1.89,-2.06,-2.22,-2.59,-2.04,-2.86,-3.23
194405,7.99,7,6.32,5.05,6.23,6.57,6.16,6.54,6.46,5.65
194406,9.1,6.75,8.04,8.42,7.56,7.39,8.92,8.79,10.49,7.74
194407,-2.31,-2.03,-1.64,-1.48,-0.3,-1.05,-1.34,0.86,-1.68,-0.9
194408,3.4,2.32,2.93,2.68,2.55,3.03,2.62,2.77,2.32,1.76
194409,-0.03,-0.7,-0.97,-0.44,0.4,0.39,-0.21,0.65,1.04,4.21
194410,-1.73,-0.7,-0.17,-0.27,0.65,0.95,0.69,1.18,0.64,3.36
194411,1.68,1.85,1.15,2.6,2.13,2.99,1.56,2.43,2.69,4.41
194412,6.36,5.35,5.75,4.36,7.25,5.26,5.39,4.41,8.02,8.35
194501,4.41,2.3,3.53,3.53,2.13,2.73,3.92,4.43,4.88,3.28
194502,8.76,7.95,6.57,7.17,8.17,7.49,7.69,7.72,9.55,8.61
194503,-7.04,-5.31,-4.39,-4.9,-4.57,-3.78,-4.29,-3.49,-5.24,-4.74
194504,10.98,8.25,9.52,9.64,7.65,7.44,8.49,7.87,8.69,5.7
194505,1.8,2.28,3.22,3.24,1.06,2.81,2.39,1.69,2.07,2.05
194506,2.57,1.32,0.39,-0.02,0.03,-0.01,0.86,2.13,3.17,5.86
194507,-4.11,-3.78,-4.44,-2.72,-2.18,-2.97,-2.94,-2.38,-2.73,-3.88
194508,9.3,10.01,9.58,5.95,8.58,6.94,6.74,5.65,5.72,2.76
194509,5.94,6.42,5.67,5.76,6.8,6.57,6.65,5.42,7.54,6.41
194510,6.72,5.42,5.1,4.65,4.93,7.44,5.49,6.53,7.8,6.14
194511,9.48,10.76,7.43,7.36,7.27,6,7.88,9.34,8.05,13.15
194512,2.68,3.88,1.38,2.16,2.92,3.32,2.32,1.78,1.75,1.08
194601,5.9,8.72,9.14,8.02,8.31,6,7.17,7.58,8.72,10.04
194602,-7.61,-6.54,-7.91,-6.4,-5.89,-5.51,-7.29,-5.59,-5.11,-4.14
194603,6.69,7.22,8.84,6.68,8.46,7.34,6.69,5.79,5.67,2.47
194604,3.39,4.72,5.93,6.96,6.17,5.04,5.37,7.02,4.69,3.4
194605,5.03,6.22,5.93,4.32,5.72,7.05,6.31,5.45,5.36,4.84
194606,-5.26,-5.69,-6.23,-5.37,-4.51,-3.7,-4.75,-4.52,-2.77,-5.23
194607,-5.25,-3.73,-3.64,-4.72,-4.26,-3.53,-3.32,-3.39,-3.04,-2.19
194608,-8.72,-7.85,-7.77,-7.12,-8.24,-6.82,-6.95,-5.18,-6.41,-5.07
194609,-15.74,-13.64,-11.84,-12.85,-12.66,-12.13,-11.01,-10.52,-11.03,-12.82
194610,-2.84,-2.66,-0.9,-1.36,-1.74,-0.87,-1.62,-0.03,-1.01,-0.31
194611,-1.29,0.73,0.32,0.64,-0.52,-0.59,0.31,0.87,0.14,0
194612,6.57,5.68,5.95,6.53,6.68,5.83,6.88,4.57,2.4,1.85
194701,2.23,3.17,1.09,2.88,2.85,2.63,1.67,2.04,3.59,4.03
194702,-0.67,-0.88,-2.23,-1.27,-0.97,0.46,-0.83,0.2,-0.5,0.03
194703,-3.49,-2.58,-2.14,-2.26,-1.94,-2.46,-2.39,-2.51,-2.7,-2.03
194704,-9.24,-9.85,-7.86,-6.17,-7.14,-6.92,-7.06,-5.57,-7.47,-7.14
194705,-6.11,-3.67,-3.3,-3.31,-2.33,-2.46,-2.83,-2.5,-2.74,-4.16
194706,6.2,6.1,6.29,6.31,5.01,7.12,5.76,5.14,3.72,2.43
194707,5.94,4.58,5.13,4.79,6.04,5.61,5.58,6.38,6.33,7.2
194708,-3.14,-0.75,-0.88,-0.55,-1.7,-1.38,-1.98,-1.1,-1.84,-0.6
194709,0.49,0.12,1,-0.26,0.57,1.52,-0.24,0.41,-0.57,1.26
194710,4.24,2.87,3.07,3.67,2.72,4.2,2.66,2.77,4.53,3.17
194711,-2.54,-1.6,-0.91,-3.28,-2.51,-2.73,-2.31,-3.12,-2.84,-2.21
194712,5.35,3.67,3.94,2.53,1.78,2.18,-0.48,1.08,0.91,-0.2
194801,-3.9,-3.73,-3.79,-3.5,-2.37,-3.4,-2.54,-0.76,-1.45,0.65
194802,-6.91,-6.36,-4.69,-5.03,-5.2,-4.51,-6.29,-5.21,-4.97,-6.24
194803,11.23,8.53,9.08,8.63,7.29,9.3,9.86,7.15,8.76,10.95
194804,3.48,4.41,4.4,2.02,3.34,2.81,4.42,3.86,3.49,2.62
194805,10.18,7.87,7.86,7.43,7.59,8.35,7.28,7.85,9.38,9.22
194806,-1.59,-2.45,-0.31,-0.82,-1.04,-1.25,-2.21,-1.92,-1.82,-1.31
194807,-6.27,-6.98,-5.36,-4.27,-4.71,-4.31,-4.65,-4.73,-4.58,-3.75
194808,-1.05,-0.08,-1.01,0.2,0.23,-0.53,-0.03,0.63,0.71,0.88
194809,-5.45,-4.18,-3.23,-3.28,-3.7,-2.99,-4.05,-3.79,-3.23,-3.45
194810,7.3,6.89,6.53,4.97,5.26,4.48,3.57,4.16,3.85,4.2
194811,-13.73,-11.01,-10.74,-8.13,-9.89,-8.97,-9.62,-9.99,-8.65,-8.95
194812,3.98,3.59,3.01,1.69,2.17,0.91,-0.19,0.83,-0.53,-0.44
194901,-0.14,0.64,1.25,1.61,1.9,2.21,2.13,2.65,2.33,2.19
194902,-4.21,-3.24,-3.54,-2.29,-3.17,-3.13,-2.92,-4.31,-3.71,-5.46
194903,8.46,5.87,6.08,4.73,5.05,4.84,5.18,4.62,5.14,5.52
194904,-2.35,-2.99,-1.98,-2.31,-2.25,-3.18,-4.26,-3.51,-2.46,-3.58
194905,-6,-4.58,-3.04,-2.13,-2.77,-3.2,-3.32,-2.69,-4.22,-4.55
194906,-1.54,0.52,-0.67,-0.36,0.27,-0.54,-0.79,-0.96,-0.03,-1.86
194907,4.99,5.09,5.09,5.19,5.68,5.59,6.43,6.86,8.03,6.7
194908,2.51,2.51,1.86,3.07,2.41,2.79,2.46,2.68,3.04,3.46
194909,3.46,4.21,3.95,4.9,3.57,2.84,4.53,4.44,3.55,3.89
194910,4.26,3.27,3.62,3.18,3.48,3.15,3.76,2.71,3.69,4.72
194911,-0.1,1.16,1.51,0.79,1.77,1.23,0.83,2.64,1.82,1.76
194912,8.73,5.91,5.37,5.8,6.36,4.89,7.24,7.74,7.42,6.69
195001,1.71,3.31,1.21,2.82,3.75,1.75,2.44,5.42,5.16,7.9
195002,2.65,1.83,2.82,1.12,0.9,1.05,0.86,0.92,1.95,0.85
195003,-0.13,0.57,0.68,0.93,-0.54,-0.4,0.61,-1.06,-2.08,-0.9
195004,5.24,4.17,1.96,2.93,4.97,3.63,4.64,5.03,6.13,5.47
195005,3.15,3.2,2.25,3.3,1.7,4.07,4.87,4.27,3.82,4.55
195006,-8.37,-7.76,-6.97,-6.98,-5.93,-6.79,-6.85,-6.8,-7.91,-7.56
195007,2.1,2.59,-0.64,3.33,3.79,2.89,5.96,5.9,6.33,8.75
195008,5.18,4.9,5.57,4.42,4.44,5.46,4.97,5.46,6.14,5.47
195009,7.3,5.32,5.66,5.79,4.46,5.87,5.34,6.18,5.4,4.59
195010,-0.06,-0.42,-0.39,-0.92,-0.29,-0.43,0.24,-0.32,-0.94,-0.99
195011,4.58,4.8,2.29,3.3,1.96,2.45,3.12,3.19,2.98,2.53
195012,7.32,7.95,4.46,7.22,7.07,7.09,6.73,7.81,7.27,9.56
195101,7.19,5.83,5.79,5.64,7.74,8.07,7.52,7.26,9.04,8.73
195102,1.79,1.78,0.98,1.05,1.99,1.66,1.13,1.76,0.82,1.1
195103,-3.25,-3.21,-0.78,-2.86,-2.53,-2.54,-3.73,-4.3,-3.23,-4.79
195104,6.79,5.46,2.69,3.55,3.08,2.88,4.09,4.67,3.97,4.38
195105,-2.89,-1.39,-1.52,-0.8,-2.31,-2.12,-1.86,-2.82,-2.32,-1.54
195106,-3.58,-2.58,-3.34,-3.06,-3.62,-4.15,-4.51,-5.16,-4.92,-5.88
195107,8.8,7.52,6.43,5.32,5.71,5.73,4.71,5.7,5.52,6.07
195108,2.78,4.57,4.59,4.23,4.78,4.05,4.77,4.91,4.08,6.31
195109,1.38,2.05,2.07,1.03,2.86,1.89,2.62,2.64,3.17,2.21
195110,-3.29,-2.94,-2.4,-2.55,-1.63,-2.44,-3.34,-1.01,-2.34,-1.75
195111,0.83,1.66,1.27,1,0.86,0.57,0.71,0.73,1.29,-0.11
195112,3.89,2.79,2.45,1.8,1.63,1.03,0.93,0.81,0.01,0.74
195201,1.5,2.33,2.81,2.62,2.21,1.13,0.91,0.79,1.46,1.83
195202,-4.19,-2.45,-1.09,-1.98,-1.62,-2.29,-1.43,-1.65,-1.58,-1.63
195203,3.69,3.87,3.16,3.32,2.49,3.04,2.59,2.44,3.1,2.93
195204,-6.43,-5.63,-4.48,-3.6,-3.62,-3.14,-3.19,-4.33,-4.25,-4.95
