Date,Rf,term,def,div
197406,0.6528,0.0447,0.0567,0.3229
197407,0.6401,0.0658,0.0667,0.334
197408,0.6429,0.0838,0.0633,0.3606
197409,0.7679,-0.0179,0.0642,0.4048
197410,0.5142,0.2558,0.0783,0.4604
197411,0.556,0.2165,0.1008,0.3966
197412,0.6248,0.116,0.1425,0.4153
197501,0.5448,0.1961,0.145,0.4325
197502,0.4617,0.2742,0.165,0.3772
197503,0.3963,0.322,0.1692,0.3639
197504,0.4395,0.283,0.1508,0.3575
197505,0.4345,0.3113,0.1358,0.3428
197506,0.4047,0.337,0.1492,0.3267
197507,0.4709,0.2599,0.1542,0.3128
197508,0.5025,0.2342,0.1425,0.3365
197509,0.4973,0.2485,0.1367,0.3418
197510,0.5243,0.2215,0.1383,0.3596
197511,0.443,0.2953,0.1467,0.3432
197512,0.432,0.2997,0.1483,0.33
197601,0.431,0.3015,0.1475,0.3357
197602,0.3768,0.3399,0.1508,0.2995
197603,0.3878,0.3247,0.1408,0.299
197604,0.3963,0.3137,0.1333,0.2937
197605,0.3912,0.3088,0.1283,0.2937
197606,0.4217,0.2933,0.1067,0.3084
197607,0.4413,0.277,0.1058,0.2964
197608,0.4234,0.2899,0.105,0.2958
197609,0.397,0.3072,0.0992,0.309
197610,0.4235,0.2748,0.085,0.3025
197611,0.3963,0.297,0.0808,0.3078
197612,0.3623,0.3253,0.0817,0.3262
197701,0.3548,0.3103,0.095,0.3074
197702,0.3793,0.2841,0.0933,0.3224
197703,0.3691,0.3009,0.09,0.3382
197704,0.3784,0.2966,0.085,0.3435
197705,0.3657,0.3043,0.0858,0.3431
197706,0.4029,0.2679,0.08,0.3599
197707,0.4124,0.2501,0.08,0.3455
197708,0.4455,0.2162,0.0775,0.3498
197709,0.4482,0.2168,0.07,0.3649
197710,0.4846,0.1754,0.0733,0.3687
197711,0.4853,0.1847,0.0708,0.3852
197712,0.4745,0.1988,0.0725,0.3805
197801,0.4795,0.203,0.0667,0.3816
197802,0.4998,0.2011,0.0633,0.4066
197803,0.5073,0.1985,0.0608,0.4202
197804,0.5414,0.1644,0.0625,0.4105
197805,0.5041,0.2093,0.0633,0.3811
197806,0.5425,0.1817,0.0667,0.3809
197807,0.5467,0.1833,0.07,0.3904
197808,0.5431,0.1969,0.06,0.3741
197809,0.6334,0.0908,0.0658,0.3643
197810,0.6683,0.0559,0.0608,0.3701
197811,0.7113,0.0295,0.0583,0.4249
197812,0.7553,-0.0028,0.0667,0.4139
197901,0.7023,0.061,0.065,0.4118
197902,0.7935,-0.0227,0.0733,0.3978
197903,0.7952,-0.0235,0.0683,0.4164
197904,0.8035,-0.0227,0.0742,0.3946
197905,0.7974,-0.0158,0.0792,0.3976
197906,0.8073,-0.0156,0.0808,0.4126
197907,0.7492,0.025,0.0908,0.3965
197908,0.7582,0.0085,0.0908,0.3958
197909,0.8378,-0.0687,0.0933,0.3818
197910,0.8566,-0.0699,0.0917,0.382
197911,0.9764,-0.1323,0.1058,0.4169
197912,0.9087,-0.012,0.1025,0.4007
198001,0.7787,0.1163,0.11,0.3938
198002,0.9768,-0.0527,0.1108,0.3718
198003,1.1347,-0.103,0.0992,0.3816
198004,1.2543,-0.1743,0.1242,0.44
198005,0.7698,0.2335,0.1792,0.4224
198006,0.5985,0.3173,0.1817,0.4017
198007,0.5168,0.3649,0.1775,0.3934
198008,0.6249,0.2976,0.1317,0.3719
198009,0.7748,0.1953,0.1258,0.3664
198010,0.8996,0.1021,0.14,0.3637
198011,0.9736,0.0523,0.16,0.3603
198012,1.221,-0.1402,0.1392,0.3275
198101,1.044,0.0568,0.1608,0.3434
198102,1.1599,-0.0924,0.185,0.3577
198103,1.1693,-0.0568,0.1683,0.3586
198104,1.0848,0.0261,0.1675,0.3477
198105,1.1516,0.0051,0.14,0.3522
198106,1.3458,-0.1525,0.1358,0.353
198107,1.2009,-0.0551,0.1708,0.3618
198108,1.2464,-0.0481,0.1492,0.3613
198109,1.2473,-0.0065,0.1208,0.3947
198110,1.1664,0.1244,0.1192,0.424
198111,1.0598,0.2235,0.1425,0.4028
198112,0.8537,0.3313,0.1808,0.3913
198201,0.803,0.3828,0.1933,0.4048
198202,0.9941,0.2709,0.16,0.4148
198203,0.9855,0.287,0.1592,0.4462
198204,1.1184,0.0966,0.1867,0.4559
198205,1.0197,0.1853,0.1933,0.4353
198206,0.9531,0.2353,0.1983,0.4629
198207,0.9816,0.2526,0.1758,0.4734
198208,0.7433,0.4743,0.1825,0.4853
198209,0.5176,0.6249,0.2175,0.4423
198210,0.5849,0.4934,0.2242,0.4362
198211,0.6419,0.3681,0.2175,0.3882
198212,0.6357,0.3377,0.2183,0.3783
198301,0.6717,0.3142,0.1925,0.3717
198302,0.6698,0.3128,0.1792,0.3622
198303,0.6188,0.3821,0.1617,0.3526
198304,0.7143,0.2632,0.1567,0.3424
198305,0.6759,0.2833,0.1483,0.3193
198306,0.6731,0.2819,0.1358,0.312
198307,0.7246,0.2538,0.1358,0.3068
198308,0.7433,0.2693,0.1033,0.3164
198309,0.7622,0.2803,0.0942,0.3129
198310,0.7296,0.3013,0.0983,0.315
198311,0.7038,0.317,0.1008,0.3229
198312,0.7085,0.3257,0.1,0.313
198401,0.7203,0.3273,0.0983,0.325
198402,0.7403,0.2763,0.1208,0.3306
198403,0.7408,0.2658,0.1258,0.3413
198404,0.7961,0.2514,0.1183,0.3415
198405,0.7719,0.2956,0.125,0.3447
198406,0.7799,0.3268,0.1217,0.3645
198407,0.7798,0.3493,0.125,0.362
198408,0.8042,0.3158,0.1425,0.3741
198409,0.8933,0.1793,0.1467,0.3375
198410,0.8694,0.1856,0.1408,0.3381
198411,0.717,0.3355,0.1092,0.3482
198412,0.6173,0.4069,0.0992,0.3468
198501,0.6332,0.3777,0.1058,0.3436
198502,0.6377,0.369,0.0983,0.3197
198503,0.6428,0.368,0.0917,0.3171
198504,0.6743,0.3724,0.0942,0.3208
198505,0.6128,0.4064,0.1067,0.3241
198506,0.5858,0.3908,0.1192,0.3101
198507,0.5526,0.3591,0.1217,0.3055
198508,0.5884,0.3258,0.1217,0.3098
198509,0.5892,0.3317,0.1208,0.3145
198510,0.589,0.3335,0.1175,0.33
198511,0.5978,0.3206,0.1117,0.3153
198512,0.5475,0.3317,0.12,0.3004
198601,0.4921,0.3546,0.1183,0.2897
198602,0.5653,0.2722,0.1158,0.288
198603,0.5789,0.2269,0.12,0.2726
198604,0.5227,0.2273,0.125,0.259
198605,0.4915,0.241,0.1167,0.2647
198606,0.5127,0.2448,0.1,0.252
198607,0.4904,0.2704,0.1008,0.2514
198608,0.4693,0.2707,0.1067,0.2699
198609,0.4268,0.2998,0.1217,0.2527
198610,0.4259,0.3149,0.1092,0.2764
198611,0.4268,0.3115,0.115,0.2681
198612,0.4133,0.31,0.1158,0.2704
198701,0.4261,0.2814,0.1233,0.2801
198702,0.4651,0.2316,0.1133,0.2481
198703,0.4473,0.2511,0.1058,0.2373
198704,0.4335,0.2632,0.1042,0.2355
198705,0.4048,0.3327,0.0992,0.2438
198706,0.4489,0.3286,0.0983,0.244
198707,0.4106,0.3661,0.1,0.2358
198708,0.4668,0.3183,0.0992,0.2293
198709,0.4718,0.3341,0.0942,0.2248
198710,0.5417,0.3067,0.0942,0.2324
198711,0.3353,0.5414,0.0917,0.3023
198712,0.2928,0.5414,0.1017,0.3268
198801,0.3073,0.5353,0.0983,0.3073
198802,0.4404,0.3829,0.0992,0.2966
198803,0.431,0.3523,0.1017,0.299
198804,0.4778,0.3047,0.0983,0.3049
198805,0.4795,0.3263,0.1025,0.2991
198806,0.4887,0.3363,0.095,0.3062
198807,0.545,0.2767,0.095,0.2913
198808,0.5313,0.2987,0.0958,0.299
198809,0.6003,0.2422,0.0917,0.3143
198810,0.5908,0.2275,0.09,0.304
198811,0.5618,0.2308,0.075,0.3065
198812,0.5688,0.2187,0.0858,0.321
198901,0.5509,0.2466,0.09,0.3225
198902,0.6569,0.1448,0.0858,0.3125
198903,0.628,0.1753,0.0808,0.3086
198904,0.7313,0.0854,0.0725,0.3058
198905,0.7134,0.1024,0.0683,0.2948
198906,0.7162,0.0813,0.0742,0.2934
198907,0.6878,0.0705,0.0775,0.2983
198908,0.6536,0.0906,0.0783,0.2768
198909,0.6488,0.0979,0.0767,0.2745
198910,0.6462,0.1047,0.075,0.2798
198911,0.6408,0.1026,0.0742,0.2849
198912,0.5892,0.1517,0.0767,0.2771
199001,0.522,0.2163,0.08,0.2727
199002,0.6369,0.1123,0.0792,0.2901
199003,0.642,0.1263,0.0767,0.291
199004,0.6666,0.1143,0.07,0.2848
199005,0.6264,0.1619,0.07,0.2985
199006,0.6113,0.1778,0.0783,0.273
199007,0.6368,0.1349,0.08,0.2763
199008,0.6221,0.1479,0.08,0.2807
199009,0.624,0.1602,0.0833,0.3097
199010,0.5849,0.2118,0.09,0.3233
199011,0.562,0.2322,0.1008,0.3292
199012,0.5543,0.2208,0.11,0.3122
199101,0.4539,0.3003,0.115,0.3054
199102,0.4898,0.2636,0.1175,0.2922
199103,0.4762,0.2597,0.1033,0.2739
199104,0.4906,0.2536,0.0967,0.2659
199105,0.4513,0.287,0.09,0.2658
199106,0.449,0.2893,0.0833,0.2543
199107,0.4319,0.3189,0.0792,0.2656
199108,0.4618,0.2883,0.0742,0.2516
199109,0.4422,0.287,0.075,0.2462
199110,0.4158,0.3018,0.075,0.2517
199111,0.3988,0.3137,0.0783,0.2446
199112,0.3386,0.3681,0.0808,0.2553
199201,0.3098,0.3828,0.0792,0.2308
199202,0.3106,0.3728,0.0775,0.2298
199203,0.3208,0.37,0.0783,0.2258
199204,0.3343,0.3616,0.075,0.2349
199205,0.292,0.4022,0.0733,0.229
199206,0.303,0.387,0.0708,0.2276
199207,0.2928,0.3923,0.0692,0.2354
199208,0.2563,0.4162,0.0642,0.2259
199209,0.2521,0.4104,0.0583,0.231
199210,0.2242,0.4358,0.0583,0.2301
199211,0.2309,0.4349,0.0708,0.2275
199212,0.2225,0.4525,0.0717,0.2206
199301,0.2437,0.4213,0.0692,0.2166
199302,0.2386,0.4206,0.0633,0.2139
199303,0.2268,0.4158,0.0567,0.2128
199304,0.2386,0.3931,0.0475,0.2106
199305,0.2378,0.3839,0.0567,0.2159
199306,0.2462,0.373,0.065,0.2116
199307,0.2386,0.3723,0.0617,0.2112
199308,0.2403,0.3572,0.0633,0.2116
199309,0.2386,0.3323,0.0625,0.2044
199310,0.2318,0.3232,0.0567,0.2055
199311,0.236,0.3198,0.0533,0.2026
199312,0.2293,0.3483,0.0608,0.2074
199401,0.2453,0.3322,0.0633,0.2038
199402,0.2327,0.344,0.0608,0.1993
199403,0.2419,0.3481,0.0567,0.2053
199404,0.2827,0.3407,0.0542,0.2141
199405,0.3013,0.3553,0.0533,0.2135
199406,0.3157,0.3502,0.0525,0.2127
199407,0.2937,0.3705,0.0567,0.2192
199408,0.3293,0.3466,0.0575,0.213
199409,0.3658,0.3068,0.0558,0.205
199410,0.3743,0.3208,0.0533,0.2098
199411,0.3614,0.3528,0.0525,0.2087
199412,0.4125,0.3108,0.0533,0.2164
199501,0.3946,0.3104,0.0533,0.2172
199502,0.4318,0.2732,0.0517,0.2145
199503,0.4183,0.2701,0.0492,0.2061
199504,0.4812,0.1955,0.0483,0.2022
199505,0.4778,0.1913,0.0475,0.1985
199506,0.4703,0.1673,0.0458,0.1933
199507,0.4438,0.1645,0.05,0.188
199508,0.4539,0.1636,0.0525,0.1867
199509,0.4473,0.1836,0.0517,0.1864
199510,0.4464,0.1636,0.0508,0.1803
199511,0.4157,0.1777,0.0525,0.1836
199512,0.4515,0.1335,0.055,0.178
199601,0.3818,0.1865,0.0558,0.1756
199602,0.4108,0.1568,0.055,0.1719
199603,0.415,0.1675,0.0533,0.1711
199604,0.4328,0.1797,0.0567,0.1698
199605,0.403,0.222,0.0575,0.1667
199606,0.4193,0.2158,0.0567,0.1636
199607,0.4014,0.2411,0.0575,0.1654
199608,0.4193,0.2183,0.0583,0.1744
199609,0.426,0.1957,0.06,0.168
199610,0.4158,0.2226,0.0575,0.1615
199611,0.4135,0.2023,0.0567,0.1614
199612,0.4124,0.1793,0.0575,0.1511
199701,0.4062,0.1938,0.0575,0.1545
199702,0.4141,0.2043,0.0558,0.1466
199703,0.4213,0.1878,0.0525,0.147
199704,0.4353,0.1939,0.0525,0.1561
199705,0.4158,0.2283,0.0508,0.1509
199706,0.3678,0.2638,0.0517,0.1401
199707,0.4204,0.1971,0.0508,0.1353
199708,0.4264,0.1686,0.0508,0.1272
199709,0.4182,0.1835,0.05,0.1314
199710,0.3958,0.2001,0.0458,0.1253
199711,0.4078,0.1756,0.0475,0.1304
199712,0.4158,0.1567,0.0458,0.1266
199801,0.4257,0.1377,0.0467,0.1258
199802,0.4188,0.1321,0.0483,0.1257
199803,0.4268,0.129,0.0483,0.1179
199804,0.4358,0.1242,0.05,0.1123
199805,0.394,0.1635,0.0533,0.1126
199806,0.3806,0.1769,0.0508,0.1154
199807,0.3919,0.1523,0.05,0.1131
199808,0.3954,0.1504,0.05,0.1153
199809,0.3909,0.1524,0.0517,0.1383
199810,0.3357,0.1977,0.0575,0.1311
199811,0.296,0.2348,0.0675,0.1218
199812,0.3702,0.164,0.0775,0.1153
199901,0.3662,0.1522,0.0842,0.1087
199902,0.3674,0.1526,0.0875,0.1053
199903,0.3755,0.1578,0.0825,0.1094
199904,0.3798,0.1718,0.0758,0.1068
199905,0.371,0.1823,0.07,0.1012
199906,0.3683,0.2092,0.0658,0.1081
199907,0.3698,0.2327,0.0658,0.1033
199908,0.3708,0.2283,0.0633,0.107
199909,0.375,0.2417,0.0625,0.1085
199910,0.3751,0.2408,0.0675,0.112
199911,0.3638,0.2653,0.0692,0.1054
199912,0.3809,0.2324,0.0658,0.1023
200001,0.4252,0.204,0.0533,0.0946
200002,0.4488,0.1995,0.0458,0.0986
200003,0.4428,0.1972,0.0508,0.0962
200004,0.488,0.152,0.0575,0.0909
200005,0.4392,0.1975,0.0633,0.0979
200006,0.3896,0.2763,0.0758,0.0991
200007,0.4691,0.1701,0.0675,0.0926
200008,0.4896,0.1479,0.0583,0.0934
200009,0.5195,0.1097,0.0592,0.088
200010,0.4933,0.1417,0.0608,0.0905
200011,0.5023,0.1269,0.0658,0.0929
200012,0.5099,0.1109,0.0692,0.1045
200101,0.4808,0.1201,0.0675,0.1009
200102,0.4023,0.1936,0.065,0.0976
200103,0.4178,0.1739,0.0642,0.1079
200104,0.3693,0.2123,0.0717,0.1141
200105,0.3118,0.2882,0.0725,0.1049
200106,0.2871,0.3204,0.065,0.104
200107,0.2846,0.3138,0.0658,0.1049
200108,0.3033,0.2908,0.07,0.1081
200109,0.2812,0.3038,0.0692,0.1146
200110,0.1982,0.3993,0.0717,0.1274
200111,0.1744,0.4114,0.0733,0.1244
200112,0.144,0.4368,0.07,0.1138
200201,0.1363,0.4278,0.1067,0.1131
200202,0.1408,0.4051,0.11,0.1156
200203,0.1444,0.3981,0.115,0.1186
200204,0.1425,0.425,0.1083,0.1129
200205,0.1461,0.4173,0.1058,0.1182
200206,0.1408,0.4218,0.1117,0.1186
200207,0.1389,0.4136,0.11,0.1311
200208,0.1417,0.4025,0.1142,0.1429
200209,0.138,0.3928,0.1008,0.1399
200210,0.1308,0.3817,0.1042,0.1566
200211,0.1183,0.4083,0.1175,0.1472
200212,0.1014,0.4244,0.1092,0.1388
200301,0.0947,0.4228,0.1033,0.148
200302,0.0955,0.4187,0.0983,0.1515
200303,0.0996,0.3963,0.0925,0.1547
200304,0.0951,0.3958,0.0883,0.1548
200305,0.0911,0.3873,0.0925,0.1461
200306,0.0934,0.3416,0.0967,0.1376
200307,0.0662,0.348,0.1017,0.1371
200308,0.0733,0.3842,0.0942,0.1356
200309,0.0809,0.4091,0.0942,0.1333
200310,0.071,0.4057,0.0892,0.1364
200311,0.0763,0.3988,0.0858,0.1315
200312,0.075,0.3958,0.0842,0.1311
200401,0.0689,0.3994,0.0817,0.1278
200402,0.0689,0.3928,0.075,0.1258
200403,0.0778,0.3806,0.0642,0.1253
200404,0.0769,0.3673,0.065,0.1296
200405,0.0674,0.4101,0.0608,0.1347
200406,0.0757,0.4277,0.0592,0.1357
200407,0.0941,0.4068,0.0642,0.1351
200408,0.1065,0.3785,0.0667,0.1403
200409,0.1201,0.3508,0.0675,0.1429
200410,0.1215,0.3335,0.0675,0.1411
200411,0.1457,0.3102,0.0617,0.1384
200412,0.1693,0.2907,0.0567,0.1522
200501,0.159,0.2968,0.0567,0.1495
200502,0.1802,0.2665,0.055,0.1532
200503,0.2081,0.2253,0.0517,0.1535
200504,0.2166,0.2334,0.055,0.1597
200505,0.2259,0.2183,0.06,0.165
200506,0.2293,0.1999,0.0717,0.1609
200507,0.2488,0.1646,0.075,0.1608
200508,0.2691,0.1526,0.0742,0.1549
200509,0.2784,0.1458,0.0725,0.1595
200510,0.2655,0.162,0.075,0.158
200511,0.308,0.1378,0.0792,0.1617
200512,0.3309,0.1208,0.0808,0.1452
200601,0.3288,0.1187,0.0792,0.1445
200602,0.3606,0.0803,0.0792,0.1415
200603,0.3687,0.0772,0.0767,0.1444
200604,0.3828,0.0781,0.0733,0.1417
200605,0.3844,0.1023,0.07,0.1422
200606,0.3913,0.1046,0.0667,0.1509
200607,0.3903,0.1005,0.0742,0.1514
200608,0.4193,0.0682,0.0758,0.1521
200609,0.4138,0.0596,0.0758,0.1514
200610,0.3874,0.0718,0.0767,0.1499
200611,0.4293,0.0299,0.0758,0.1448
200612,0.415,0.0292,0.0725,0.1452
200701,0.3973,0.046,0.075,0.1464
200702,0.4168,0.0333,0.0783,0.1435
200703,0.4286,0.0206,0.0742,0.1483
200704,0.4209,0.0208,0.0808,0.1478
200705,0.3963,0.0596,0.0767,0.1425
200706,0.3913,0.0646,0.0767,0.1418
200707,0.3776,0.1049,0.0758,0.1452
200708,0.4254,0.0521,0.0767,0.1512
200709,0.346,0.1365,0.0717,0.1511
200710,0.2869,0.1914,0.0708,0.1482
200711,0.3318,0.1398,0.0683,0.1466
200712,0.2683,0.1851,0.08,0.1536
200801,0.2382,0.2193,0.0967,0.1588
200802,0.1387,0.3055,0.1008,0.1714
200803,0.1725,0.2883,0.1075,0.1745
200804,0.1032,0.356,0.115,0.1783
200805,0.1048,0.3577,0.1183,0.1688
200806,0.1623,0.3018,0.1133,0.1645
200807,0.1412,0.3322,0.1158,0.182
200808,0.1319,0.3406,0.1242,0.1865
200809,0.1387,0.3313,0.1258,0.1832
200810,0.0803,0.3905,0.1383,0.2043
200811,0.0212,0.5022,0.2167,0.251
200812,0.0025,0.5075,0.2575,0.271
200901,0.0025,0.4183,0.2817,0.262
200902,0.0148,0.4061,0.2575,0.2804
200903,0.0143,0.4248,0.2342,0.312
200904,0.0127,0.4457,0.2433,0.2885
200905,0.0029,0.4463,0.25,0.2576
200906,0.0068,0.4549,0.21,0.2339
200907,0.012,0.4555,0.1575,0.2283
200908,0.0108,0.4401,0.14,0.2076
200909,0.0078,0.4305,0.11,0.1985
200910,0.0036,0.4239,0.0983,0.1854
200911,0.0008,0.4283,0.095,0.1879
200912,0.0062,0.4263,0.0942,0.1779
201001,0.0032,0.4352,0.0925,0.1702
201002,0.0013,0.4371,0.0825,0.1763
201003,0.0062,0.4397,0.0825,0.1683
201004,0.0112,0.428,0.0833,0.1552
201005,0.0118,0.429,0.08,0.1514
201006,0.0114,0.4019,0.0908,0.1665
201007,0.0135,0.3932,0.1125,0.1767
201008,0.0118,0.3815,0.1075,0.1689
201009,0.0127,0.3615,0.0975,0.1787
201010,0.0112,0.3663,0.0942,0.1664
201011,0.0106,0.3794,0.0867,0.1635
201012,0.0142,0.3917,0.0875,0.1638
201101,0.0068,0.4116,0.09,0.1578
201102,0.0125,0.4075,0.0875,0.1556
201103,0.0066,0.4284,0.0775,0.152
201104,0.0048,0.4227,0.075,0.1535
201105,0.0013,0.4288,0.0717,0.1506
201106,0.0036,0.4098,0.0683,0.155
201107,0.0007,0.4152,0.0633,0.1614
201108,0.0074,0.4034,0.0692,0.1637
201109,0,0.3642,0.0825,0.177
201110,0.0013,0.3396,0.0983,0.1944
201111,0.0004,0.3313,0.1158,0.1736
201112,0,0.3225,0.1058,0.1798
201201,,,,
