Symbol,Name
ATR,"AptarGroup, Inc."
WTR,"Aqua America, Inc."
ABR^A,Arbor Realty Trust
ABR^B,Arbor Realty Trust
ABR^C,Arbor Realty Trust
MT,ArcelorMittal
MTCN,ArcelorMittal
ARH^C,Arch Capital Group Ltd.
ACI,"Arch Coal, Inc."
ADM,Archer-Daniels-Midland Company
AFC,Ares Capital Corporation
ARU,Ares Capital Corporation
ARY,Ares Capital Corporation
AGX,"Argan, Inc."
AI,Arlington Asset Investment Corp
AIW,Arlington Asset Investment Corp
ARR,"ARMOUR Residential REIT, Inc."
ARR^A,"ARMOUR Residential REIT, Inc."
ARR^B,"ARMOUR Residential REIT, Inc."
AWI,Armstrong World Industries Inc
ARW,"Arrow Electronics, Inc."
AJG,Arthur J. Gallagher & Co.
ASA,ASA Gold and Precious Metals Limited
AHT^A,Ashford Hospitality Trust Inc
AHT^D,Ashford Hospitality Trust Inc
AHT^E,Ashford Hospitality Trust Inc
ASH,Ashland Inc.
APB,"Asia Pacific Fund, Inc. (The)"
GRR,"Asia Tigers Fund, Inc. (The)"
AHL^A,Aspen Insurance Holdings Limited
AHL^B,Aspen Insurance Holdings Limited
AHL^C,Aspen Insurance Holdings Limited
ASB,Associated Banc-Corp
ASB^B,Associated Banc-Corp
AEC,Associated Estates Realty Corporation
AGO^B,Assured Guaranty Ltd.
AGO^E,Assured Guaranty Ltd.
AGO^F,Assured Guaranty Ltd.
AF,Astoria Financial Corporation
AF^C,Astoria Financial Corporation
AZN,Astrazeneca PLC
T,AT&T Inc.
AT,Atlantic Power Corporation
ARP^D,"Atlas Resource Partners, L.P."
ARP^E,"Atlas Resource Partners, L.P."
ATO,Atmos Energy Corporation
ATW,"Atwood Oceanics, Inc."
AUQ,AuRico Gold Inc.
ALV,"Autoliv, Inc."
AN,"AutoNation, Inc."
AZO,"AutoZone, Inc."
AVB,"AvalonBay Communities, Inc."
AVY,Avery Dennison Corporation
AVA,Avista Corporation
AV,Aviva plc
AVT,"Avnet, Inc."
AVP,"Avon Products, Inc."
AVX,AVX Corporation
AXLL,Axiall Corporation
AXS^C,Axis Capital Holdings Limited
AXS^D,Axis Capital Holdings Limited
AZZ,AZZ Incorporated
BGS,"B&G Foods, Inc."
BWC,Babcock & Wilcox Company (The)
MCI,Babson Capital Corporate Investors
BMI,"Badger Meter, Inc."
BHI,Baker Hughes Incorporated
BLL,Ball Corporation
BGE^B,Baltimore Gas & Electric Company
BANC,"Banc of California, Inc."
BANC^C,"Banc of California, Inc."
BANC^D,"Banc of California, Inc."
BOCA,"Banc of California, Inc."
BBVA,Banco Bilbao Viscaya Argentaria S.A.
BBD,Banco Bradesco Sa
BBDO,Banco Bradesco Sa
BCH,Banco De Chile
BSAC,Banco Santander Chile
SAN,"Banco Santander, S.A."
SAN^A,"Banco Santander, S.A."
SAN^B,"Banco Santander, S.A."
SAN^C,"Banco Santander, S.A."
SAN^I,"Banco Santander, S.A."
CIB,BanColombia S.A.
BXS,"BancorpSouth, Inc."
BAC,Bank of America Corporation
BAC/WS/A,Bank of America Corporation
BAC/WS/B,Bank of America Corporation
BAC^D,Bank of America Corporation
BAC^E,Bank of America Corporation
BAC^I,Bank of America Corporation
BAC^L,Bank of America Corporation
BAC^W,Bank of America Corporation
BAC^Y,Bank of America Corporation
BAC^Z,Bank of America Corporation
BML^G,Bank of America Corporation
BML^H,Bank of America Corporation
BML^I,Bank of America Corporation
BML^J,Bank of America Corporation
BML^L,Bank of America Corporation
BOH,Bank of Hawaii Corporation
BMO,Bank Of Montreal
BK,Bank Of New York Mellon Corporation (The)
BK^C,Bank Of New York Mellon Corporation (The)
BNS,Bank of Nova Scotia (The)
BCS,Barclays PLC
BCS^,Barclays PLC
BCS^A,Barclays PLC
BCS^C,Barclays PLC
BCS^D,Barclays PLC
BKS,"Barnes & Noble, Inc."
B,"Barnes Group, Inc."
ABX,Barrick Gold Corporation
BAX,Baxter International Inc.
BTE,Baytex Energy Corp
BBT,BB&T Corporation
BBT^D,BB&T Corporation
BBT^E,BB&T Corporation
BBT^F,BB&T Corporation
BBT^G,BB&T Corporation
BFR,BBVA Banco Frances S.A.
BBX,BBX Capital Corporation
BCE,"BCE, Inc."
TZF,"Bear Stearns Depositor, Inc."
BZT,"Beazer Homes USA, Inc."
BDX,"Becton, Dickinson and Company"
BDC,Belden Inc
BXE,Bellatrix Exploration Ltd
BEL,Belmond Ltd.
BMS,"Bemis Company, Inc."
BHE,"Benchmark Electronics, Inc."
BRK/A,Berkshire Hathaway Inc.
BRK/B,Berkshire Hathaway Inc.
BHLB,"Berkshire Hills Bancorp, Inc."
BBY,"Best Buy Co., Inc."
BHP,BHP Billiton Limited
BBL,BHP Billiton plc
BIG,"Big Lots, Inc."
BH,Biglari Holdings Inc.
BIOA/WS,BioAmber Inc.
BIO,"Bio-Rad Laboratories, Inc."
BIO/B,"Bio-Rad Laboratories, Inc."
BKH,Black Hills Corporation
BKT,BlackRock Income Trust Inc. (The)
BBF,BlackRock Municipal Income Investment Trust
BFK,BlackRock Municipal Income Trust
MUE,"Blackrock MuniHoldings Quality Fund II, Inc."
MYI,"Blackrock MuniYield Quality Fund III, Inc."
BNJ,BlackRock New Jersey Municipal Income Trust
BNY,BlackRock New York Investment Quality Municipal Trust Inc. (Th
BLT,"Blount International, Inc."
BA,Boeing Company (The)
BWA,BorgWarner Inc.
SAM,"Boston Beer Company, Inc. (The)"
BXP^B,"Boston Properties, Inc."
BSX,Boston Scientific Corporation
TEU^C,Box Ships Inc.
BP,BP p.l.c.
BPT,BP Prudhoe Bay Royalty Trust
BRC,Brady Corporation
BDN^E,Brandywine Realty Tr
BDN,Brandywine Realty Trust
LND,Brasilagro Cia Brasileira De Propriedades Agricolas
BAK,Braskem S.A.
BRFS,BRF S.A.
BGG,Briggs & Stratton Corporation
EAT,"Brinker International, Inc."
BCO,Brink&#39;s Company (The)
BMY,Bristol-Myers Squibb Company
BRS,Bristow Group Inc
BR,"Broadridge Financial Solutions, Inc."
BAM,Brookfield Asset Management Inc
BOXC,Brookfield Canada Office Properties
DTLA^,Brookfield DTLA Inc.
INF,Brookfield Global Listed Infrastructure Income Fund
INF~,Brookfield Global Listed Infrastructure Income Fund
HHY,Brookfield High Income Fund Inc.
BIP,Brookfield Infrastructure Partners LP
BPY,Brookfield Property Partners L.P.
BEP,Brookfield Renewable Powerr Fund
BRO,"Brown & Brown, Inc."
BF/A,Brown Forman Corporation
BF/B,Brown Forman Corporation
BWS,"Brown Shoe Company, Inc."
BRT,BRT Realty Trust
BC,Brunswick Corporation
BT,BT Group plc
BKE,"Buckle, Inc. (The)"
BCR,"C.R. Bard, Inc."
GYB,CABCO Series 2004-101 Trust
PFH,CABCO Series 2004-101 Trust
CBT,Cabot Corporation
CACI,"CACI International, Inc."
CAE,CAE Inc
CCC,Calgon Carbon Corporation
CWT,California Water  Service Group Holding
CPE,Callon Petroleum Company
CPE^A,Callon Petroleum Company
CPN,Calpine Corporation
CAM,Cameron International Corporation
CPB,Campbell Soup Company
CCG^A,"Campus Crest Communities, Inc."
CM,Canadian Imperial Bank of Commerce
CNI,Canadian National Railway Company
CNQ,Canadian Natural Resources Limited
CP,Canadian Pacific Railway Limited
CAJ,"Canon, Inc."
CMN,Cantel Medical Corp.
COF^P,Capital One Financial Corp
COF/WS,Capital One Financial Corporation
COF^C,Capital One Financial Corporation
COF^D,Capital One Financial Corporation
BXMT,"Capital Trust, Inc."
CMO,Capstead Mortgage Corporation
CMO^E,Capstead Mortgage Corporation
CRR,"Carbo Ceramics, Inc."
CAH,"Cardinal Health, Inc."
CSL,Carlisle Companies Incorporated
KMX,CarMax Inc
CUK,Carnival Corporation
CRS,Carpenter Technology Corporation
CSV,"Carriage Services, Inc."
CSH,"Cash America International, Inc."
CAS,Castle (A.M.) & Co.
CAT,"Caterpillar, Inc."
CATO,Cato Corporation (The)
CBZ,"CBIZ, Inc."
CBL^D,"CBL & Associates Properties, Inc."
CBL^E,"CBL & Associates Properties, Inc."
CBO,CBO (Listing Market - NYSE - Networks A/E)
CBS,CBS Corporation
CBS/A,CBS Corporation
CBX,CBX (Listing Market NYSE Networks AE
CDI,CDI Corporation
CEB,CEB Inc.
CDR,"Cedar Realty Trust, Inc."
CDR^B,"Cedar Realty Trust, Inc."
CGI,"Celadon Group, Inc."
CX,Cemex S.A.B. de C.V.
CNCO,Cencosud S.A.
CVE,Cenovus Energy Inc
CNC,Centene Corporation
CNP,"CenterPoint Energy, Inc."
EBR,Centrais Electricas Brasileiras SA
EBR/B,Centrais Electricas Brasileiras SA
CEE,"Central Europe, Russia and Turkey Fund, Inc. (The)"
CTL,"CenturyLink, Inc."
CVO,Cenveo Inc
CGG,CGG
GIB,"CGI Group, Inc."
CSG,Chambers Street Properties
CKP,"Checkpoint Systms, Inc."
CHE,Chemed Corp.
CHMT,Chemtura Corp.
CHK,Chesapeake Energy Corporation
CHK^D,Chesapeake Energy Corporation
CHSP^A,Chesapeake Lodging Trust
CPK,Chesapeake Utilities Corporation
CVX,Chevron Corporation
CHS,"Chico&#39;s FAS, Inc."
CO,China Cord Blood Corporation
DL,China Distance Education Holdings Limited
CHN,"China Fund, Inc. (The)"
CGA,"China Green Agriculture, Inc."
CHL,China Mobile (Hong Kong) Ltd.
SNP,China Petroleum & Chemical Corporation
CHU,China Unicom (Hong Kong) Ltd
CHH,"Choice Hotels International, Inc."
CBK,Christopher & Banks Corporation
CB,Chubb Corporation (The)
CHT,"Chunghwa Telecom Co., Ltd."
CHD,"Church & Dwight Company, Inc."
CBR,"Ciber, Inc."
CI,Cigna Corporation
XEC,Cimarex Energy Co
CBB,Cincinnati Bell Inc
CBB^B,Cincinnati Bell Inc
CIR,"CIRCOR International, Inc."
CIT,CIT Group Inc (DEL)
C,Citigroup Inc.
C/WS/A,Citigroup Inc.
C/WS/B,Citigroup Inc.
C^C,Citigroup Inc.
C^J,Citigroup Inc.
C^K,Citigroup Inc.
C^L,Citigroup Inc.
C^N,Citigroup Inc.
C^P,Citigroup Inc.
CIA,"Citizens, Inc."
CYN,City National Corporation
CYN^C,City National Corporation
CYN^D,City National Corporation
CLC,CLARCOR Inc.
CLH,"Clean Harbors, Inc."
CLW,Clearwater Paper Corporation
CNL,Cleco Corporation
CLF,Cliffs Natural Resources Inc.
CLV,Cliffs Natural Resources Inc.
CLX,Clorox Company (The)
CMS,CMS Energy Corporation
CMS^B,CMS Energy Corporation
CNA,CNA Financial Corporation
CNO,"CNO Financial Group, Inc."
COH,"Coach, Inc."
KO,Coca-Cola Company (The)
CDE,"Coeur Mining, Inc."
CDE/WS,"Coeur Mining, Inc."
CL,Colgate-Palmolive Company
CIF,Colonial Intermediate High Income Fund
CLNY^A,"Colony Capital, Inc"
CLNY^B,"Colony Capital, Inc"
CLNY^C,"Colony Capital, Inc"
CCZ,Comcast Corporation
CMA,Comerica Incorporated
CMA/WS,Comerica Incorporated
CMC,Commercial Metals Company
CBU,"Community Bank System, Inc."
CIG,Comp En De Mn Cemig ADS
CIG/C,Comp En De Mn Cemig ADS
ELP,Companhia Paranaense de Energia (COPEL)
CCU,"Compania Cervecerias Unidas, S.A."
CSC,Computer Sciences Corporation
CRK,"Comstock Resources, Inc."
CAG,"ConAgra Foods, Inc."
COP,ConocoPhillips
ED,Consolidated Edison Inc
STZ,Constellation Brands Inc
STZ/B,Constellation Brands Inc
CNW,Con-way Inc.
COO,"Cooper Companies, Inc. (The)"
CTB,Cooper Tire & Rubber Company
CPS,Cooper-Standard Holdings Inc.
CLGX,"CoreLogic, Inc."
CORR,"CorEnergy Infrastructure Trust, Inc."
CORR^A,"CorEnergy Infrastructure Trust, Inc."
COR^A,CoreSite Realty Corporation
GLW,Corning Incorporated
BCA,Corpbanca
GYC,Corporate Asset Backed Corp CABCO
OFC,Corporate Office Properties Trust
OFC^L,Corporate Office Properties Trust
CXW,Corrections Corporation of America
CZZ,Cosan Limited
CMRE^B,Costamare Inc.
CMRE^C,Costamare Inc.
CMRE^D,Costamare Inc.
COT,Cott Corporation
CFC^A,Countrywide Financial Corporation
CFC^B,Countrywide Financial Corporation
CUZ,Cousins Properties Incorporated
CVA,Covanta Holding Corporation
CPF,CPB Inc.
CR,Crane Company
CRD/A,Crawford & Company
CRD/B,Crawford & Company
BAP,Credicorp Ltd.
CS,Credit Suisse Group
CPG,Crescent Point Energy Corporation
CEQP,Crestwood Equity Partners LP
CRH,CRH PLC
CCI,Crown Castle International Corporation
CCI^A,Crown Castle International Corporation
CCK,"Crown Holdings, Inc."
CRY,"CryoLife, Inc."
CSS,"CSS Industries, Inc."
CST,"CST Brands, Inc."
CSX,CSX Corporation
CTS,CTS Corporation
CUBE,CubeSmart
CUBE^A,CubeSmart
CUB,Cubic Corporation
CFR,"Cullen/Frost Bankers, Inc."
CFR^A,"Cullen/Frost Bankers, Inc."
CFI,"Culp, Inc."
CMI,Cummins Inc.
CW,Curtiss-Wright Corporation
CUBI,"Customers Bancorp, Inc"
CUBS,"Customers Bancorp, Inc"
CSI,Cutwater Select Income Fund
CVS,CVS Health Corporation
CYS^A,"CYS Investments, Inc."
CYS^B,"CYS Investments, Inc."
CYT,Cytec Industries Inc.
DHI,"D.R. Horton, Inc."
DAN,Dana Holding Corporation
DHR,Danaher Corporation
DRI,"Darden Restaurants, Inc."
DAR,Darling Ingredients Inc.
DVA,DaVita healthCare Partners Inc.
DDR^J,DDR Corp.
DDR^K,DDR Corp.
DF,Dean Foods Company
DE,Deere & Company
DAL,"Delta Air Lines, Inc."
DEL,Deltic Timber Corporation
DLX,Deluxe Corporation
DNR,Denbury Resources Inc.
DKT,Deutsch Bk Contingent Cap Tr V
DB,Deutsche Bank AG
DTK,Deutsche Bank AG
DXB,Deutsche Bank AG
DVN,Devon Energy Corporation
DV,DeVry Education Group Inc.
DEO,Diageo plc
DSX^B,Diana Shipping inc.
DBD,"Diebold, Incorporated"
DLR^E,"Digital Realty Trust, Inc."
DLR^F,"Digital Realty Trust, Inc."
DLR^G,"Digital Realty Trust, Inc."
DLR^H,"Digital Realty Trust, Inc."
DDS,"Dillard&#39;s, Inc."
DDT,"Dillard&#39;s, Inc."
DIN,"DineEquity, Inc"
DFS,Discover Financial Services
DFS^B,Discover Financial Services
DRA,Diversified Real Asset Income Fund
DNI,Dividend and Income Fund
DDC,Dominion Diamond Corporation
D,"Dominion Resources, Inc."
DCUA,"Dominion Resources, Inc."
DCUB,"Dominion Resources, Inc."
DCUC,"Dominion Resources, Inc."
UFS,Domtar Corporation
DCI,"Donaldson Company, Inc."
DOV,Dover Corporation
DDE,Dover Downs Gaming & Entertainment Inc
DOW,Dow Chemical Company (The)
DPS,"Dr Pepper Snapple Group, Inc"
RDY,Dr. Reddy&#39;s Laboratories Ltd
DRD,DRDGOLD Limited
DW,Drew Industries Incorporated
DTE,DTE Energy Company
DTQ,DTE Energy Company
DCO,Ducommun Incorporated
DUK,Duke Energy Corporation
DUKH,Duke Energy Corporation
DRE,Duke Realty Corporation
DNB,Dun & Bradstreet Corporation (The)
DFT^A,"Dupont Fabros Technology, Inc."
DFT^B,"Dupont Fabros Technology, Inc."
DY,"Dycom Industries, Inc."
DLNG,Dynagas LNG Partners LP
DYN,Dynegy Inc.
DYN/WS,Dynegy Inc.
DYN^A,Dynegy Inc.
DX,"Dynex Capital, Inc."
DX^A,"Dynex Capital, Inc."
DX^B,"Dynex Capital, Inc."
DD,E.I. du Pont de Nemours and Company
DD^A,E.I. du Pont de Nemours and Company
DD^B,E.I. du Pont de Nemours and Company
SSP,E.W. Scripps Company (The)
EXP,Eagle Materials Inc
EGP,"EastGroup Properties, Inc."
EMN,Eastman Chemical Company
KODK,Eastman Kodak Company
KODK/WS,Eastman Kodak Company
KODK/WS/A,Eastman Kodak Company
ETN,"Eaton Corporation, PLC"
EV,Eaton Vance Corporation
ECL,Ecolab Inc.
EC,Ecopetrol S.A.
EIX,Edison International
EW,Edwards Lifesciences Corporation
EP^C,El Paso Corporation
EE,El Paso Electric Company
EGO,Eldorado Gold Corporation
LLY,Eli Lilly and Company
AKO/A,Embotelladora Andina S.A.
AKO/B,Embotelladora Andina S.A.
EMC,EMC Corporation
EME,"EMCOR Group, Inc."
EMR,Emerson Electric Company
EDE,Empire District Electric Company (The)
EOC,Empresa Nacional de Electricidad S.A.
EEP,"Enbridge Energy, L.P."
ENB,Enbridge Inc
ECA,Encana Corporation
EXK,Endeavour Silver Corporation
ENH^A,Endurance Specialty Holdings Ltd
ENH^B,Endurance Specialty Holdings Ltd
EGN,Energen Corporation
ENR,"Energizer Holdings, Inc."
ETP,ENERGY TRANSFER PARTNERS
ERF,Enerplus Corporation
E,ENI S.p.A.
ENLK,"EnLink Midstream Partners, LP"
ENLC,"EnLink Midstream, LLC"
EBF,"Ennis, Inc."
NPO,Enpro Industries
ESV,ENSCO plc
EAA,"Entergy Arkansas, Inc."
EAB,"Entergy Arkansas, Inc."
ETR,Entergy Corporation
ELA,"Entergy Louisiana, Inc."
ELB,"Entergy Louisiana, Inc."
ELJ,"Entergy Louisiana, Inc."
ELU,"Entergy Louisiana, Inc."
EFM,"Entergy Mississippi, Inc."
EMQ,"Entergy Mississippi, Inc."
EMZ,"Entergy Mississippi, Inc."
ENJ,"Entergy New Orleans, Inc."
EPD,Enterprise Products Partners L.P.
ENZ,"Enzo Biochem, Inc."
EOG,"EOG Resources, Inc."
EPR^C,EPR Properties
EPR^E,EPR Properties
EPR^F,EPR Properties
EQT,EQT Corporation
EFX,"Equifax, Inc."
EQC,Equity Commonwealth
EQC^D,Equity Commonwealth
EQC^E,Equity Commonwealth
ELS,"Equity Lifestyle Properties, Inc."
ELS^C,"Equity Lifestyle Properties, Inc."
EQY,"Equity One, Inc."
EQR,Equity Residential
EQS,"Equus Total Return, Inc."
ERA,"Era Group, Inc."
ESE,ESCO Technologies Inc.
ESS^H,"Essex Property Trust, Inc."
ESL,Esterline Technologies Corporation
DEG,Etablissements Delhaize Freres et Cie &quot;Le Lion&quot; S.A.
EEA,"European Equity Fund, Inc. (The)"
EVER^A,EverBank Financial Corp.
RE,"Everest Re Group, Ltd."
ES,Eversource Energy
EXL^B,"Excel Trust, Inc."
EXC,Exelon Corporation
EXCU,Exelon Corporation
EXH,"Exterran Holdings, Inc."
XOM,Exxon Mobil Corporation
FNB,F.N.B. Corporation
FNB^E,F.N.B. Corporation
FICO,Fair Isaac Corporation
FDO,"Family Dollar Stores, Inc."
AGM,Federal Agricultural Mortgage Corporation
AGM/A,Federal Agricultural Mortgage Corporation
AGM^A,Federal Agricultural Mortgage Corporation
AGM^B,Federal Agricultural Mortgage Corporation
AGM^C,Federal Agricultural Mortgage Corporation
FRT,Federal Realty Investment Trust
FSS,Federal Signal Corporation
FDX,FedEx Corporation
FCH,FelCor Lodging Trust Incorporated
FCH^A,FelCor Lodging Trust Incorporated
FOE,Ferro Corporation
FIS,"Fidelity National Information Services, Inc."
FSCE,Fifth Street Finance Corp.
FAC,First Acceptance Corporation
FAF,First American Corporation (The)
FBP,First BanCorp.
FBS^A,"First Banks, Inc."
FCF,First Commonwealth Financial Corporation
FHN,First Horizon National Corporation
FHN^A,First Horizon National Corporation
AG,First Majestic Silver Corp.
FNFG^B,First Niagara Financial Group Inc.
FPO^A,First Potomac Realty Trust
FRC,FIRST REPUBLIC BANK
FRC^A,FIRST REPUBLIC BANK
FRC^B,FIRST REPUBLIC BANK
FRC^C,FIRST REPUBLIC BANK
FRC^D,FIRST REPUBLIC BANK
FRC^E,FIRST REPUBLIC BANK
FAV,First Trust Dividend and Income Fund
FHY,First Trust Strategic High Income Fund II
FEO,First Trust/Aberdeen Emerging Opportunity Fund
FE,FirstEnergy Corporation
FMER^A,FirstMerit Corporation
OAKS^A,Five Oaks Investment Corp.
FVE,"Five Star Quality Care, Inc."
FBC,"Flagstar Bancorp, Inc."
FTK,"Flotek Industries, Inc."
FLO,"Flowers Foods, Inc."
FLS,Flowserve Corporation
FLR,Fluor Corporation
FMC,FMC Corporation
FTI,"FMC Technologies, Inc."
FMX,Fomento Economico Mexicano S.A.B. de C.V.
FL,"Foot Locker, Inc."
F,Ford Motor Company
FCE/A,Forest City Enterprises Inc
FCE/B,Forest City Enterprises Inc
FOR,Forestar Group Inc
FDI,"Fort Dearborn Income Securities, Inc."
FSM,Fortuna Silver Mines Inc.
FBHS,"Fortune Brands Home & Security, Inc."
FNV,Franco-Nevada Corporation
FC,Franklin Covey Company
BEN,"Franklin Resources, Inc."
FT,Franklin Universal Trust
FCX,"Freeport-McMoran, Inc."
FMS,Fresenius Medical Care Corporation
FRO,Frontline Ltd.
FCN,"FTI Consulting, Inc."
FRM,Furmanite Corporation
FF,FutureFuel Corp.
GCV,"Gabelli Convertible and Income Securities Fund, Inc. (The)"
GCV^B,"Gabelli Convertible and Income Securities Fund, Inc. (The)"
GDV^A,Gabelli Dividend
GDV^D,Gabelli Dividend
GAB^D,"Gabelli Equity Trust, Inc. (The)"
GAB^G,"Gabelli Equity Trust, Inc. (The)"
GAB^H,"Gabelli Equity Trust, Inc. (The)"
GGT,Gabelli Multi-Media Trust Inc. (The)
GGT^B,Gabelli Multi-Media Trust Inc. (The)
GUT,Gabelli Utility Trust (The)
GUT^A,Gabelli Utility Trust (The)
GCI,"Gannett Co., Inc."
GPS,"Gap, Inc. (The)"
GLOG^A,GasLog LP.
GMT,GATX Corporation
GAM,"General American Investors, Inc."
GAM^B,"General American Investors, Inc."
GD,General Dynamics Corporation
GEH,General Electric Capital Corporation
GEK,General Electric Capital Corporation
GE,General Electric Company
GEB,General Electric Company
GGP,"General Growth Properties, Inc."
GGP^A,"General Growth Properties, Inc."
GIS,"General Mills, Inc."
GM/WS/A,General Motors Company
GM/WS/B,General Motors Company
GM/WS/C,General Motors Company
GSI,"General Steel Holdings, Inc."
GCO,Genesco Inc.
GWR,"Genesee & Wyoming, Inc."
GWRU,"Genesee & Wyoming, Inc."
GEN           ,"Genesis Healthcare, Inc."
GNE^A,Genie Energy Ltd.
GPC,Genuine Parts Company
GEO,Geo Group Inc (The)
GPE^A,Georgia Power Company
GGB,Gerdau S.A.
GTY,Getty Realty Corporation
GLT,Glatfelter
GSK,GlaxoSmithKline PLC
GNL,"Global Net Lease, Inc."
GPN,Global Payments Inc.
GLPW,Global Power Equipment Group Inc
GSL,"Global Ship Lease, Inc."
GSL^B,"Global Ship Lease, Inc."
GFI,Gold Fields Limited
GG,Goldcorp Inc.
GS^A,"Goldman Sachs Group, Inc. (The)"
GS^B,"Goldman Sachs Group, Inc. (The)"
GS^C,"Goldman Sachs Group, Inc. (The)"
GS^D,"Goldman Sachs Group, Inc. (The)"
GS^I,"Goldman Sachs Group, Inc. (The)"
GS^J,"Goldman Sachs Group, Inc. (The)"
GS^K,"Goldman Sachs Group, Inc. (The)"
GSF,"Goldman Sachs Group, Inc. (The)"
GDP,Goodrich Petroleum Corporation
GDP^C,Goodrich Petroleum Corporation
GDP^D,Goodrich Petroleum Corporation
GPX,GP Strategies Corporation
GGG,Graco Inc.
GTI,GrafTech International Ltd
GHM,Graham Corporation
GHC,Graham Holdings Company
GPT,Gramercy Property Trust Inc.
GPT^B,Gramercy Property Trust Inc.
GVA,Granite Construction Incorporated
GRP/U,Granite Real Estate Inc.
GPK,Graphic Packaging Holding Company
GTN,"Gray Television, Inc."
GTN/A,"Gray Television, Inc."
GXP,Great Plains Energy Inc
